model,fold,split,metric,value
RDKit-only (RandomForest),4,Test,MAE,82.40352936066316
RDKit-only (GradientBoosting),4,Train,R2,0.3212175788019267
RDKit-only (GradientBoosting),4,Train,MAE,112.61646886980365
RDKit-only (GradientBoosting),4,Test,R2,0.31593276236809054
RDKit-only (GradientBoosting),4,Test,MAE,112.6025331230542
ChemBERTa-frozen-RT (CLS only),4,Train,R2,0.38454519404608456
ChemBERTa-frozen-RT (CLS only),4,Train,MAE,107.63243981247004
ChemBERTa-frozen-RT (CLS only),4,Test,R2,0.3793935978495875
ChemBERTa-frozen-RT (CLS only),4,Test,MAE,107.34865815120727
ChemBERTa-Concat (frozen),4,Train,R2,0.4566760909654607
ChemBERTa-Concat (frozen),4,Train,MAE,99.91395154334558
ChemBERTa-Concat (frozen),4,Test,R2,0.4513057914616131
ChemBERTa-Concat (frozen),4,Test,MAE,99.8619468555644
